total,available,percent,used,free
34277707776,27962376192,18.4,6315331584,27962376192
34277707776,27962232832,18.4,6315474944,27962232832
34277707776,27959681024,18.4,6318026752,27959681024
34277707776,27958280192,18.4,6319427584,27958280192
34277707776,27954921472,18.4,6322786304,27954921472
34277707776,27949305856,18.5,6328401920,27949305856
34277707776,27948154880,18.5,6329552896,27948154880
34277707776,27947188224,18.5,6330519552,27947188224
34277707776,27946786816,18.5,6330920960,27946786816
34277707776,27946905600,18.5,6330802176,27946905600
34277707776,27946577920,18.5,6331129856,27946577920
34277707776,27945984000,18.5,6331723776,27945984000
34277707776,27945029632,18.5,6332678144,27945029632
34277707776,27943989248,18.5,6333718528,27943989248
34277707776,27940274176,18.5,6337433600,27940274176
34277707776,27938197504,18.5,6339510272,27938197504
34277707776,27934396416,18.5,6343311360,27934396416
34277707776,27931058176,18.5,6346649600,27931058176
34277707776,27928518656,18.5,6349189120,27928518656
34277707776,27912134656,18.6,6365573120,27912134656
34277707776,27911536640,18.6,6366171136,27911536640
34277707776,27910881280,18.6,6366826496,27910881280
34277707776,27910643712,18.6,6367064064,27910643712
34277707776,27909799936,18.6,6367907840,27909799936
34277707776,27908886528,18.6,6368821248,27908886528
34277707776,27908026368,18.6,6369681408,27908026368
34277707776,27906383872,18.6,6371323904,27906383872
34277707776,27902861312,18.6,6374846464,27902861312
34277707776,27898519552,18.6,6379188224,27898519552
34277707776,27896582144,18.6,6381125632,27896582144
34277707776,27893997568,18.6,6383710208,27893997568
34277707776,27893477376,18.6,6384230400,27893477376
34277707776,27893075968,18.6,6384631808,27893075968
34277707776,27892887552,18.6,6384820224,27892887552
34277707776,27870732288,18.7,6406975488,27870732288
34277707776,27859296256,18.7,6418411520,27859296256
34277707776,27840049152,18.8,6437658624,27840049152
34277707776,27839762432,18.8,6437945344,27839762432
34277707776,27839717376,18.8,6437990400,27839717376
34277707776,27839541248,18.8,6438166528,27839541248
34277707776,27839205376,18.8,6438502400,27839205376
34277707776,27838947328,18.8,6438760448,27838947328
34277707776,27837636608,18.8,6440071168,27837636608
34277707776,27836002304,18.8,6441705472,27836002304
34277707776,27831496704,18.8,6446211072,27831496704
34277707776,27828215808,18.8,6449491968,27828215808
34277707776,27826524160,18.8,6451183616,27826524160
34277707776,27823542272,18.8,6454165504,27823542272
34277707776,27822931968,18.8,6454775808,27822931968
34277707776,27821846528,18.8,6455861248,27821846528
34277707776,27821821952,18.8,6455885824,27821821952
34277707776,27821817856,18.8,6455889920,27821817856
34277707776,27821690880,18.8,6456016896,27821690880
34277707776,27821449216,18.8,6456258560,27821449216
34277707776,27821363200,18.8,6456344576,27821363200
34277707776,27828047872,18.8,6449659904,27828047872
34277707776,27828215808,18.8,6449491968,27828215808
34277707776,27828133888,18.8,6449573888,27828133888
34277707776,27827896320,18.8,6449811456,27827896320
34277707776,27826118656,18.8,6451589120,27826118656
34277707776,27819524096,18.8,6458183680,27819524096
34277707776,27819098112,18.8,6458609664,27819098112
34277707776,27818184704,18.8,6459523072,27818184704
34277707776,27817828352,18.8,6459879424,27817828352
34277707776,27817230336,18.8,6460477440,27817230336
34277707776,27816230912,18.9,6461476864,27816230912
34277707776,27815858176,18.9,6461849600,27815858176
34277707776,27815817216,18.9,6461890560,27815817216
34277707776,27815608320,18.9,6462099456,27815608320
34277707776,27815034880,18.9,6462672896,27815034880
34277707776,27814199296,18.9,6463508480,27814199296
34277707776,27814195200,18.9,6463512576,27814195200
34277707776,27814514688,18.9,6463193088,27814514688
34277707776,27815526400,18.9,6462181376,27815526400
34277707776,27815514112,18.9,6462193664,27815514112
34277707776,27815514112,18.9,6462193664,27815514112
34277707776,27815514112,18.9,6462193664,27815514112
34277707776,27815514112,18.9,6462193664,27815514112
34277707776,27815514112,18.9,6462193664,27815514112
34277707776,27815510016,18.9,6462197760,27815510016
34277707776,27815510016,18.9,6462197760,27815510016
