total,available,percent,used,free
34277707776,28034215936,18.2,6243491840,28034215936
34277707776,28033867776,18.2,6243840000,28033867776
34277707776,28032741376,18.2,6244966400,28032741376
34277707776,28030410752,18.2,6247297024,28030410752
34277707776,28027113472,18.2,6250594304,28027113472
34277707776,28023603200,18.2,6254104576,28023603200
34277707776,28020789248,18.3,6256918528,28020789248
34277707776,28018405376,18.3,6259302400,28018405376
34277707776,28017827840,18.3,6259879936,28017827840
34277707776,28017192960,18.3,6260514816,28017192960
34277707776,28031148032,18.2,6246559744,28031148032
34277707776,28037713920,18.2,6239993856,28037713920
34277707776,28038627328,18.2,6239080448,28038627328
34277707776,28038500352,18.2,6239207424,28038500352
34277707776,28037468160,18.2,6240239616,28037468160
34277707776,28036706304,18.2,6241001472,28036706304
34277707776,28034818048,18.2,6242889728,28034818048
34277707776,28033658880,18.2,6244048896,28033658880
34277707776,28031291392,18.2,6246416384,28031291392
34277707776,28028715008,18.2,6248992768,28028715008
34277707776,28025135104,18.2,6252572672,28025135104
34277707776,28022681600,18.2,6255026176,28022681600
34277707776,28021755904,18.3,6255951872,28021755904
34277707776,28021456896,18.3,6256250880,28021456896
34277707776,28021608448,18.3,6256099328,28021608448
34277707776,28021334016,18.3,6256373760,28021334016
34277707776,28020547584,18.3,6257160192,28020547584
34277707776,28018319360,18.3,6259388416,28018319360
34277707776,28014141440,18.3,6263566336,28014141440
34277707776,28002451456,18.3,6275256320,28002451456
34277707776,27985903616,18.4,6291804160,27985903616
34277707776,27985817600,18.4,6291890176,27985817600
34277707776,27985227776,18.4,6292480000,27985227776
34277707776,27981983744,18.4,6295724032,27981983744
34277707776,27977945088,18.4,6299762688,27977945088
34277707776,27975462912,18.4,6302244864,27975462912
34277707776,27973185536,18.4,6304522240,27973185536
34277707776,27972603904,18.4,6305103872,27972603904
34277707776,27970580480,18.4,6307127296,27970580480
34277707776,27969335296,18.4,6308372480,27969335296
34277707776,27968655360,18.4,6309052416,27968655360
34277707776,27968561152,18.4,6309146624,27968561152
34277707776,27968606208,18.4,6309101568,27968606208
34277707776,27968589824,18.4,6309117952,27968589824
34277707776,27968581632,18.4,6309126144,27968581632
34277707776,27968475136,18.4,6309232640,27968475136
34277707776,27968397312,18.4,6309310464,27968397312
34277707776,27968344064,18.4,6309363712,27968344064
34277707776,27968208896,18.4,6309498880,27968208896
34277707776,27968253952,18.4,6309453824,27968253952
34277707776,27968221184,18.4,6309486592,27968221184
34277707776,27968159744,18.4,6309548032,27968159744
34277707776,27968094208,18.4,6309613568,27968094208
34277707776,27968192512,18.4,6309515264,27968192512
34277707776,27968098304,18.4,6309609472,27968098304
34277707776,27967942656,18.4,6309765120,27967942656
34277707776,27967832064,18.4,6309875712,27967832064
34277707776,27966496768,18.4,6311211008,27966496768
34277707776,27965939712,18.4,6311768064,27965939712
34277707776,27965313024,18.4,6312394752,27965313024
34277707776,27964923904,18.4,6312783872,27964923904
34277707776,27964600320,18.4,6313107456,27964600320
34277707776,27964043264,18.4,6313664512,27964043264
34277707776,27963682816,18.4,6314024960,27963682816
34277707776,27963125760,18.4,6314582016,27963125760
34277707776,27957563392,18.4,6320144384,27957563392
34277707776,27952013312,18.5,6325694464,27952013312
34277707776,27951734784,18.5,6325972992,27951734784
34277707776,27951587328,18.5,6326120448,27951587328
34277707776,27950723072,18.5,6326984704,27950723072
34277707776,27950235648,18.5,6327472128,27950235648
34277707776,27950227456,18.5,6327480320,27950227456
34277707776,27950071808,18.5,6327635968,27950071808
34277707776,27944288256,18.5,6333419520,27944288256
34277707776,27941486592,18.5,6336221184,27941486592
34277707776,27940478976,18.5,6337228800,27940478976
34277707776,27934498816,18.5,6343208960,27934498816
34277707776,27934040064,18.5,6343667712,27934040064
34277707776,27933827072,18.5,6343880704,27933827072
34277707776,27933945856,18.5,6343761920,27933945856
34277707776,27935129600,18.5,6342578176,27935129600
34277707776,27933757440,18.5,6343950336,27933757440
34277707776,27933679616,18.5,6344028160,27933679616
34277707776,27930677248,18.5,6347030528,27930677248
34277707776,27924615168,18.5,6353092608,27924615168
34277707776,27918884864,18.6,6358822912,27918884864
34277707776,27915927552,18.6,6361780224,27915927552
34277707776,27913146368,18.6,6364561408,27913146368
34277707776,27904368640,18.6,6373339136,27904368640
34277707776,27898310656,18.6,6379397120,27898310656
