time.ms,connector,model,runs,parameters
379541,NL4Py,Wolf Sheep Predation,14000,Sobol Experiment
382429,NL4Py,Wolf Sheep Predation,14000,Sobol Experiment
384756,NL4Py,Wolf Sheep Predation,14000,Sobol Experiment
386583,NL4Py,Wolf Sheep Predation,14000,Sobol Experiment
387839,NL4Py,Wolf Sheep Predation,14000,Sobol Experiment
787589,NL4Py,Wolf Sheep Predation,14000,Sobol Experiment
394881,NL4Py,Wolf Sheep Predation,14000,Sobol Experiment
401944,NL4Py,Wolf Sheep Predation,14000,Sobol Experiment
405437,NL4Py,Wolf Sheep Predation,14000,Sobol Experiment
406684,NL4Py,Wolf Sheep Predation,14000,Sobol Experiment
528479,PyNetLogo_IPCluster,Wolf Sheep Predation,14000,Sobol Experiment
513736,PyNetLogo_IPCluster,Wolf Sheep Predation,14000,Sobol Experiment
510384,PyNetLogo_IPCluster,Wolf Sheep Predation,14000,Sobol Experiment
513080,PyNetLogo_IPCluster,Wolf Sheep Predation,14000,Sobol Experiment
515985,PyNetLogo_IPCluster,Wolf Sheep Predation,14000,Sobol Experiment
516641,PyNetLogo_IPCluster,Wolf Sheep Predation,14000,Sobol Experiment
514744,PyNetLogo_IPCluster,Wolf Sheep Predation,14000,Sobol Experiment
515089,PyNetLogo_IPCluster,Wolf Sheep Predation,14000,Sobol Experiment
514594,PyNetLogo_IPCluster,Wolf Sheep Predation,14000,Sobol Experiment
517671,PyNetLogo_IPCluster,Wolf Sheep Predation,14000,Sobol Experiment
