,0,1,2
0,10000,16,4922822
1,12000,16,6111771
2,13000,16,6266670
3,14000,16,6783038
4,15000,16,7190866
5,10000,16,4777857
6,12000,16,6052554
7,13000,16,6240087
8,14000,16,6651440
9,15000,16,7249764
10,10000,16,4883650
11,12000,16,5825658
12,13000,16,6347914
13,14000,16,6731352
14,15000,16,7238597
15,10000,16,4834745
16,12000,16,5840577
17,13000,16,6257660
18,14000,16,6688294
19,15000,16,7271428
20,10000,16,4829920
21,12000,16,5797462
22,13000,16,6249757
23,14000,16,7209043
24,15000,16,7598913
25,10000,16,4831026
26,12000,16,5785116
27,13000,16,6248617
28,14000,16,6812509
29,15000,16,7240835
30,10000,16,4844679
31,12000,16,5789130
32,13000,16,6200391
33,14000,16,6726209
34,15000,16,7209344
35,10000,16,4806189
36,12000,16,5867489
37,13000,16,6309563
38,14000,16,6927970
39,15000,16,7279403
40,10000,16,4799240
41,12000,16,5781480
42,13000,16,6311406
43,14000,16,6747175
44,15000,16,7245567
45,10000,16,4865866
46,12000,16,6591669
47,13000,16,6388266
48,14000,16,6805714
49,15000,16,7462201
50,10000,16,4838066
51,12000,16,5842000
52,13000,16,6326600
