model,runs,threads,connector,time.ms
Wolf Sheep Predation,10000,16,NL4Py,1238537
Wolf Sheep Predation,10000,16,NL4Py,1349358
Wolf Sheep Predation,10000,16,NL4Py,1221808
Wolf Sheep Predation,10000,16,NL4Py,1234943
Wolf Sheep Predation,10000,16,NL4Py,1359680
Wolf Sheep Predation,10000,16,NL4Py,1123768
Wolf Sheep Predation,15000,16,NL4Py,1813497
Wolf Sheep Predation,15000,16,NL4Py,1926955
Wolf Sheep Predation,15000,16,NL4Py,2157197
Wolf Sheep Predation,15000,16,NL4Py,1794537
Wolf Sheep Predation,15000,16,NL4Py,1936161
Wolf Sheep Predation,15000,16,NL4Py,2177844
Wolf Sheep Predation,15000,16,NL4Py,1783766
Wolf Sheep Predation,15000,16,NL4Py,1958831
Wolf Sheep Predation,15000,16,NL4Py,2152469
Wolf Sheep Predation,15000,16,NL4Py,1780074
Wolf Sheep Predation,5000,32,NL4Py,250606
Wolf Sheep Predation,5000,32,NL4Py,607700
Wolf Sheep Predation,5000,32,NL4Py,705229
Wolf Sheep Predation,5000,32,NL4Py,241933
Wolf Sheep Predation,5000,32,NL4Py,605213
Wolf Sheep Predation,5000,32,NL4Py,694574
Wolf Sheep Predation,5000,32,NL4Py,245324
Wolf Sheep Predation,5000,32,NL4Py,605387
Wolf Sheep Predation,5000,32,NL4Py,695513
Wolf Sheep Predation,5000,32,NL4Py,248011
Wolf Sheep Predation,10000,32,NL4Py,1258310
Wolf Sheep Predation,10000,32,NL4Py,1300830
Wolf Sheep Predation,10000,32,NL4Py,1442187
Wolf Sheep Predation,10000,32,NL4Py,1253536
Wolf Sheep Predation,10000,32,NL4Py,1299336
Wolf Sheep Predation,10000,32,NL4Py,1433466
Wolf Sheep Predation,10000,32,NL4Py,1247818
Wolf Sheep Predation,10000,32,NL4Py,1293081
Wolf Sheep Predation,10000,32,NL4Py,1426199
Wolf Sheep Predation,10000,32,NL4Py,1251025
Wolf Sheep Predation,15000,32,NL4Py,1851168
Wolf Sheep Predation,15000,32,NL4Py,2035387
Wolf Sheep Predation,15000,32,NL4Py,2334281
Wolf Sheep Predation,15000,32,NL4Py,1867195
Wolf Sheep Predation,15000,32,NL4Py,2041052
Wolf Sheep Predation,15000,32,NL4Py,2361376
Wolf Sheep Predation,15000,32,NL4Py,1848504
Wolf Sheep Predation,15000,32,NL4Py,2027116
Wolf Sheep Predation,15000,32,NL4Py,2366996
Wolf Sheep Predation,15000,32,NL4Py,1878614
Wolf Sheep Predation,5000,64,NL4Py,291173
Wolf Sheep Predation,5000,64,NL4Py,631196
Wolf Sheep Predation,5000,64,NL4Py,720799
Wolf Sheep Predation,5000,64,NL4Py,274640
Wolf Sheep Predation,5000,64,NL4Py,613632
Wolf Sheep Predation,5000,64,NL4Py,721816
Wolf Sheep Predation,5000,64,NL4Py,275718
Wolf Sheep Predation,5000,64,NL4Py,614178
Wolf Sheep Predation,5000,64,NL4Py,720846
Wolf Sheep Predation,5000,64,NL4Py,276505
Wolf Sheep Predation,10000,64,NL4Py,1007315
Wolf Sheep Predation,10000,64,NL4Py,1349331
Wolf Sheep Predation,10000,64,NL4Py,1485074
Wolf Sheep Predation,10000,64,NL4Py,1202916
Wolf Sheep Predation,10000,64,NL4Py,1332812
Wolf Sheep Predation,10000,64,NL4Py,1496652
Wolf Sheep Predation,10000,64,NL4Py,1028209
Wolf Sheep Predation,10000,64,NL4Py,1339576
Wolf Sheep Predation,10000,64,NL4Py,1482871
Wolf Sheep Predation,10000,64,NL4Py,924461
Wolf Sheep Predation,15000,64,NL4Py,1895509
Wolf Sheep Predation,15000,64,NL4Py,2100117
Wolf Sheep Predation,15000,64,NL4Py,1906233
Wolf Sheep Predation,15000,64,NL4Py,2087286
Wolf Sheep Predation,15000,64,NL4Py,1895389
Wolf Sheep Predation,15000,64,NL4Py,2076950
Wolf Sheep Predation,5000,128,NL4Py,319286
Wolf Sheep Predation,5000,128,NL4Py,617038
Wolf Sheep Predation,5000,128,NL4Py,721490
Wolf Sheep Predation,5000,128,NL4Py,332256
Wolf Sheep Predation,5000,128,NL4Py,611100
Wolf Sheep Predation,5000,128,NL4Py,723003
Wolf Sheep Predation,5000,128,NL4Py,332287
Wolf Sheep Predation,5000,128,NL4Py,608849
Wolf Sheep Predation,5000,128,NL4Py,724615
Wolf Sheep Predation,5000,128,NL4Py,310955
Wolf Sheep Predation,10000,128,NL4Py,917177
Wolf Sheep Predation,10000,128,NL4Py,1365418
Wolf Sheep Predation,10000,128,NL4Py,1541431
Wolf Sheep Predation,10000,128,NL4Py,1082746
Wolf Sheep Predation,10000,128,NL4Py,1366603
Wolf Sheep Predation,10000,128,NL4Py,1530832
Wolf Sheep Predation,10000,128,NL4Py,969015
Wolf Sheep Predation,10000,128,NL4Py,1364704
Wolf Sheep Predation,10000,128,NL4Py,1531416
Wolf Sheep Predation,10000,128,NL4Py,950278
Wolf Sheep Predation,15000,128,NL4Py,1960041
Wolf Sheep Predation,15000,128,NL4Py,2146274
Wolf Sheep Predation,15000,128,NL4Py,2020867
Wolf Sheep Predation,15000,128,NL4Py,2151584
Wolf Sheep Predation,15000,128,NL4Py,1834561
Wolf Sheep Predation,15000,128,NL4Py,2145466
