,0,1,2
0,10000,4,6318115
1,12000,4,7518227
2,13000,4,8123538
3,14000,4,8711104
4,15000,4,9353480
5,10000,4,6222488
6,12000,4,7511562
7,13000,4,8158171
8,14000,4,8758752
9,15000,4,9374336
10,10000,4,6264092
11,12000,4,7484080
12,13000,4,8294675
13,14000,4,8730110
14,15000,4,9364031
15,10000,4,6283342
16,12000,4,7541747
17,13000,4,8154891
18,14000,4,8772659
19,15000,4,9410408
20,10000,4,6263992
21,12000,4,7549788
22,13000,4,8220209
23,14000,4,9085838
24,15000,4,9432294
25,10000,4,6273224
26,12000,4,7467485
27,13000,4,8153631
28,14000,4,8737305
29,15000,4,9510394
30,10000,4,6295899
31,12000,4,7582183
32,13000,4,8235712
33,14000,4,8869917
34,15000,4,9459987
35,10000,4,6396066
36,12000,4,7570055
37,13000,4,8199121
38,14000,4,8872937
39,15000,4,9450794
40,10000,4,6267370
41,12000,4,7543030
42,13000,4,8188233
43,14000,4,8794443
44,15000,4,9402915
45,10000,4,6320155
46,12000,4,7566772
47,13000,4,8206824
48,14000,4,9372312
49,15000,4,9441627
50,10000,4,6331857
