connector,function,model,runs,ticks,time.ms,max.memory.used.b
nl4py,runExperiment,Ethnocentrism,800,1000,392511,43899416576
pynetlogo,repeat_report,Ethnocentrism,800,1000,366388,82781814784
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,800,100,14659,5265350656
nl4py,runExperiment,Wolf Sheep Predation,800,100,9630,4664254464
pynetlogo,repeat_report,Wolf Sheep Predation,800,100,18886,21803290624
nl4py,scheduleReportersAndRun,Fire,1000,100,16161,5046452224
nl4py,runExperiment,Fire,1000,100,13237,4258263040
pynetlogo,repeat_report,Fire,1000,100,19236,22567108608
nl4py,scheduleReportersAndRun,Ethnocentrism,1000,1000,494351,45700165632
nl4py,runExperiment,Ethnocentrism,1000,1000,492118,44036714496
pynetlogo,repeat_report,Ethnocentrism,1000,1000,454377,97721335808
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,1000,100,17484,6059479040
nl4py,runExperiment,Wolf Sheep Predation,1000,100,11234,5653692416
pynetlogo,repeat_report,Wolf Sheep Predation,1000,100,20947,23838523392
nl4py,scheduleReportersAndRun,Fire,200,100,7785,2916679680
nl4py,runExperiment,Fire,200,100,7609,3061219328
pynetlogo,repeat_report,Fire,200,100,12122,11121909760
nl4py,scheduleReportersAndRun,Ethnocentrism,200,1000,115963,29550256128
nl4py,runExperiment,Ethnocentrism,200,1000,104503,29209874432
pynetlogo,repeat_report,Ethnocentrism,200,1000,114496,70827368448
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,200,100,7179,2691399680
nl4py,runExperiment,Wolf Sheep Predation,200,100,5920,2450972672
pynetlogo,repeat_report,Wolf Sheep Predation,200,100,12366,11327447040
nl4py,scheduleReportersAndRun,Fire,400,100,9997,3547582464
nl4py,runExperiment,Fire,400,100,8999,3532296192
pynetlogo,repeat_report,Fire,400,100,14565,15376297984
nl4py,scheduleReportersAndRun,Ethnocentrism,400,1000,221038,45188136960
nl4py,runExperiment,Ethnocentrism,400,1000,194788,43707228160
pynetlogo,repeat_report,Ethnocentrism,400,1000,207314,71554641920
