connector,function,model,runs,ticks,time.ms,max.memory.used.b
nl4py,runExperiment,Wolf Sheep Predation,600,100,9865,3856883712
pynetlogo,repeat_report,Wolf Sheep Predation,600,100,16862,21333745664
nl4py,scheduleReportersAndRun,Fire,800,100,14461,4500471808
nl4py,runExperiment,Fire,800,100,12133,3713675264
pynetlogo,repeat_report,Fire,800,100,18095,22557347840
nl4py,scheduleReportersAndRun,Ethnocentrism,800,1000,409233,45490556928
nl4py,runExperiment,Ethnocentrism,800,1000,388396,43983421440
pynetlogo,repeat_report,Ethnocentrism,800,1000,372049,84313407488
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,800,100,14867,4880478208
nl4py,runExperiment,Wolf Sheep Predation,800,100,9852,4351328256
pynetlogo,repeat_report,Wolf Sheep Predation,800,100,18982,21618577408
nl4py,scheduleReportersAndRun,Fire,1000,100,16168,4972650496
nl4py,runExperiment,Fire,1000,100,13455,4095692800
pynetlogo,repeat_report,Fire,1000,100,19084,22529794048
nl4py,scheduleReportersAndRun,Ethnocentrism,1000,1000,508049,45590196224
nl4py,runExperiment,Ethnocentrism,1000,1000,489309,44003094528
pynetlogo,repeat_report,Ethnocentrism,1000,1000,459897,92028391424
