connector,function,runs,ticks,time.ms,max.memory.used.b
nl4py,runexperiment,Fire.nlogo,1000,100,17791,1456476160
pynetlogo,repeatreporter,Fire.nlogo,1000,100,37770,4127928320
nl4py,scheduledreporters,Ethnocentrism.nlogo,1000,1000,1701623,19742941184
nl4py,runexperiment,Ethnocentrism.nlogo,1000,1000,1502233,9422876672
pynetlogo,repeatreporter,Ethnocentrism.nlogo,1000,1000,1809844,23493398528
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,1000,100,63551,4505477120
nl4py,runexperiment,Wolf Sheep Predation.nlogo,1000,100,18899,2414702592
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,1000,100,53078,5174296576
nl4py,scheduledreporters,Fire.nlogo,200,100,23546,2586132480
nl4py,runexperiment,Fire.nlogo,200,100,12553,477274112
pynetlogo,repeatreporter,Fire.nlogo,200,100,23061,2903506944
nl4py,scheduledreporters,Ethnocentrism.nlogo,200,1000,378588,9047674880
nl4py,runexperiment,Ethnocentrism.nlogo,200,1000,326785,9192280064
pynetlogo,repeatreporter,Ethnocentrism.nlogo,200,1000,358994,6926970880
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,200,100,26141,2921115648
nl4py,runexperiment,Wolf Sheep Predation.nlogo,200,100,8667,814632960
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,200,100,24098,2735427584
nl4py,scheduledreporters,Fire.nlogo,400,100,31804,3412815872
nl4py,runexperiment,Fire.nlogo,400,100,11628,1448820736
pynetlogo,repeatreporter,Fire.nlogo,400,100,25031,3371413504
nl4py,scheduledreporters,Ethnocentrism.nlogo,400,1000,692225,12430385152
nl4py,runexperiment,Ethnocentrism.nlogo,400,1000,601815,9241706496
pynetlogo,repeatreporter,Ethnocentrism.nlogo,400,1000,634850,12559708160
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,400,100,37096,3708325888
nl4py,runexperiment,Wolf Sheep Predation.nlogo,400,100,11564,1142054912
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,400,100,31150,3634876416
nl4py,scheduledreporters,Fire.nlogo,600,100,38980,3694120960
nl4py,runexperiment,Fire.nlogo,600,100,13229,1196535808
pynetlogo,repeatreporter,Fire.nlogo,600,100,29107,3881840640
nl4py,scheduledreporters,Ethnocentrism.nlogo,600,1000,1031111,16368422912
nl4py,runexperiment,Ethnocentrism.nlogo,600,1000,933988,9355329536
pynetlogo,repeatreporter,Ethnocentrism.nlogo,600,1000,1011167,17642889216
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,600,100,44938,4150050816
nl4py,runexperiment,Wolf Sheep Predation.nlogo,600,100,13939,1624735744
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,600,100,40735,4124774400
nl4py,scheduledreporters,Fire.nlogo,800,100,44032,3989913600
nl4py,runexperiment,Fire.nlogo,800,100,16514,1412419584
pynetlogo,repeatreporter,Fire.nlogo,800,100,44502,4005490688
nl4py,scheduledreporters,Ethnocentrism.nlogo,800,1000,1395298,15912857600
nl4py,runexperiment,Ethnocentrism.nlogo,800,1000,1189341,9210658816
pynetlogo,repeatreporter,Ethnocentrism.nlogo,800,1000,1243821,20453396480
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,800,100,51837,4725944320
nl4py,runexperiment,Wolf Sheep Predation.nlogo,800,100,15238,1784815616
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,800,100,41817,4945330176
nl4py,scheduledreporters,Fire.nlogo,1000,100,49739,4891529216
nl4py,runexperiment,Fire.nlogo,1000,100,18485,1428295680
pynetlogo,repeatreporter,Fire.nlogo,1000,100,39125,4234600448
nl4py,scheduledreporters,Ethnocentrism.nlogo,1000,1000,1694407,18772905984
nl4py,runexperiment,Ethnocentrism.nlogo,1000,1000,1601877,9037119488
pynetlogo,repeatreporter,Ethnocentrism.nlogo,1000,1000,1558633,21533396992
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,1000,100,62083,5899075584
nl4py,runexperiment,Wolf Sheep Predation.nlogo,1000,100,17546,2205675520
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,1000,100,47745,5248212992
nl4py,scheduledreporters,Fire.nlogo,200,100,22034,2519842816
nl4py,runexperiment,Fire.nlogo,200,100,8277,847847424
pynetlogo,repeatreporter,Fire.nlogo,200,100,18390,2735456256
nl4py,scheduledreporters,Ethnocentrism.nlogo,200,1000,362483,7023616000
nl4py,runexperiment,Ethnocentrism.nlogo,200,1000,305953,9168834560
pynetlogo,repeatreporter,Ethnocentrism.nlogo,200,1000,333021,7601811456
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,200,100,25375,2941272064
nl4py,runexperiment,Wolf Sheep Predation.nlogo,200,100,8514,940773376
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,200,100,21525,2909704192
nl4py,scheduledreporters,Fire.nlogo,400,100,29927,3354836992
nl4py,runexperiment,Fire.nlogo,400,100,11395,1285107712
pynetlogo,repeatreporter,Fire.nlogo,400,100,24686,3277205504
nl4py,scheduledreporters,Ethnocentrism.nlogo,400,1000,694074,13522456576
nl4py,runexperiment,Ethnocentrism.nlogo,400,1000,582401,9214910464
pynetlogo,repeatreporter,Ethnocentrism.nlogo,400,1000,637401,12198268928
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,400,100,35452,4091183104
nl4py,runexperiment,Wolf Sheep Predation.nlogo,400,100,10996,1408983040
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,400,100,30373,4016119808
nl4py,scheduledreporters,Fire.nlogo,600,100,37618,3361693696
nl4py,runexperiment,Fire.nlogo,600,100,13123,1348714496
pynetlogo,repeatreporter,Fire.nlogo,600,100,30388,3892846592
nl4py,scheduledreporters,Ethnocentrism.nlogo,600,1000,1034659,16427405312
nl4py,runexperiment,Ethnocentrism.nlogo,600,1000,897364,9341603840
pynetlogo,repeatreporter,Ethnocentrism.nlogo,600,1000,949855,13751951360
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,600,100,44439,4830781440
nl4py,runexperiment,Wolf Sheep Predation.nlogo,600,100,13473,1776517120
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,600,100,36577,4575670272
nl4py,scheduledreporters,Fire.nlogo,800,100,44273,3921326080
nl4py,runexperiment,Fire.nlogo,800,100,16269,1726775296
pynetlogo,repeatreporter,Fire.nlogo,800,100,34825,3857575936
nl4py,scheduledreporters,Ethnocentrism.nlogo,800,1000,1347963,15202779136
nl4py,runexperiment,Ethnocentrism.nlogo,800,1000,1181494,9378852864
pynetlogo,repeatreporter,Ethnocentrism.nlogo,800,1000,1257983,19263950848
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,800,100,52566,5111619584
nl4py,runexperiment,Wolf Sheep Predation.nlogo,800,100,16226,2011316224
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,800,100,43114,4738715648
nl4py,scheduledreporters,Fire.nlogo,1000,100,50646,4236529664
nl4py,runexperiment,Fire.nlogo,1000,100,17713,2050445312
pynetlogo,repeatreporter,Fire.nlogo,1000,100,39832,4202237952
nl4py,scheduledreporters,Ethnocentrism.nlogo,1000,1000,1675318,10751750144
nl4py,runexperiment,Ethnocentrism.nlogo,1000,1000,1503754,9720184832
pynetlogo,repeatreporter,Ethnocentrism.nlogo,1000,1000,1556240,11683127296
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,1000,100,60220,6052298752
nl4py,runexperiment,Wolf Sheep Predation.nlogo,1000,100,18747,2276057088
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,1000,100,50092,5743370240
nl4py,scheduledreporters,Fire.nlogo,200,100,22260,2644074496
nl4py,runexperiment,Fire.nlogo,200,100,8038,867254272
pynetlogo,repeatreporter,Fire.nlogo,200,100,18982,2766893056
nl4py,scheduledreporters,Ethnocentrism.nlogo,200,1000,363623,8402997248
nl4py,runexperiment,Ethnocentrism.nlogo,200,1000,304350,9214980096
pynetlogo,repeatreporter,Ethnocentrism.nlogo,200,1000,335223,7219900416
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,200,100,25639,3062276096
nl4py,runexperiment,Wolf Sheep Predation.nlogo,200,100,8142,924721152
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,200,100,21757,3173670912
nl4py,scheduledreporters,Fire.nlogo,400,100,30541,3407216640
nl4py,runexperiment,Fire.nlogo,400,100,11405,1255723008
pynetlogo,repeatreporter,Fire.nlogo,400,100,24991,3218735104
nl4py,scheduledreporters,Ethnocentrism.nlogo,400,1000,696906,10118520832
nl4py,runexperiment,Ethnocentrism.nlogo,400,1000,596766,9244155904
pynetlogo,repeatreporter,Ethnocentrism.nlogo,400,1000,639841,13006143488
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,400,100,34813,3983073280
nl4py,runexperiment,Wolf Sheep Predation.nlogo,400,100,10901,1287626752
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,400,100,29638,3959857152
nl4py,scheduledreporters,Fire.nlogo,600,100,38056,3655421952
nl4py,runexperiment,Fire.nlogo,600,100,13616,1174917120
pynetlogo,repeatreporter,Fire.nlogo,600,100,29810,3775799296
nl4py,scheduledreporters,Ethnocentrism.nlogo,600,1000,1039741,15068401664
nl4py,runexperiment,Ethnocentrism.nlogo,600,1000,863910,9380986880
pynetlogo,repeatreporter,Ethnocentrism.nlogo,600,1000,945068,17074171904
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,600,100,46477,4273287168
nl4py,runexperiment,Wolf Sheep Predation.nlogo,600,100,13539,1552863232
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,600,100,38953,4403826688
nl4py,scheduledreporters,Fire.nlogo,800,100,43641,3918290944
nl4py,runexperiment,Fire.nlogo,800,100,15788,1856712704
pynetlogo,repeatreporter,Fire.nlogo,800,100,35097,3910217728
nl4py,scheduledreporters,Ethnocentrism.nlogo,800,1000,1351128,17006153728
nl4py,runexperiment,Ethnocentrism.nlogo,800,1000,1149440,9444323328
pynetlogo,repeatreporter,Ethnocentrism.nlogo,800,1000,1255575,20131938304
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,800,100,53483,5313282048
nl4py,runexperiment,Wolf Sheep Predation.nlogo,800,100,15765,2055634944
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,800,100,42844,4882493440
nl4py,scheduledreporters,Fire.nlogo,1000,100,50879,4336877568
nl4py,runexperiment,Fire.nlogo,1000,100,17793,1579208704
pynetlogo,repeatreporter,Fire.nlogo,1000,100,38849,4162211840
nl4py,scheduledreporters,Ethnocentrism.nlogo,1000,1000,1694450,18200080384
nl4py,runexperiment,Ethnocentrism.nlogo,1000,1000,1489436,9418584064
pynetlogo,repeatreporter,Ethnocentrism.nlogo,1000,1000,1557952,17994039296
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,1000,100,60387,5618593792
nl4py,runexperiment,Wolf Sheep Predation.nlogo,1000,100,17626,3073748992
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,1000,100,47393,5645885440
nl4py,scheduledreporters,Fire.nlogo,200,100,21845,2578853888
nl4py,runexperiment,Fire.nlogo,200,100,8363,998625280
pynetlogo,repeatreporter,Fire.nlogo,200,100,19004,3028152320
nl4py,scheduledreporters,Ethnocentrism.nlogo,200,1000,363637,7968841728
nl4py,runexperiment,Ethnocentrism.nlogo,200,1000,302564,9202421760
pynetlogo,repeatreporter,Ethnocentrism.nlogo,200,1000,331679,7359750144
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,200,100,25081,2712498176
nl4py,runexperiment,Wolf Sheep Predation.nlogo,200,100,8097,909893632
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,200,100,21370,2928242688
nl4py,scheduledreporters,Fire.nlogo,400,100,30596,3265892352
nl4py,runexperiment,Fire.nlogo,400,100,11091,1111805952
pynetlogo,repeatreporter,Fire.nlogo,400,100,24037,3258331136
nl4py,scheduledreporters,Ethnocentrism.nlogo,400,1000,697213,11606941696
nl4py,runexperiment,Ethnocentrism.nlogo,400,1000,600367,9330384896
pynetlogo,repeatreporter,Ethnocentrism.nlogo,400,1000,637042,9847287808
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,400,100,35847,3639496704
nl4py,runexperiment,Wolf Sheep Predation.nlogo,400,100,11295,1163550720
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,400,100,29910,3732480000
nl4py,scheduledreporters,Fire.nlogo,600,100,38452,3699605504
nl4py,runexperiment,Fire.nlogo,600,100,13417,1239449600
pynetlogo,repeatreporter,Fire.nlogo,600,100,29971,3869085696
nl4py,scheduledreporters,Ethnocentrism.nlogo,600,1000,1023584,16013496320
nl4py,runexperiment,Ethnocentrism.nlogo,600,1000,892667,9235554304
pynetlogo,repeatreporter,Ethnocentrism.nlogo,600,1000,930586,14203568128
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,600,100,44190,4320706560
nl4py,runexperiment,Wolf Sheep Predation.nlogo,600,100,13063,1539411968
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,600,100,35999,4294373376
nl4py,scheduledreporters,Fire.nlogo,800,100,43608,3917557760
nl4py,runexperiment,Fire.nlogo,800,100,15759,1733488640
pynetlogo,repeatreporter,Fire.nlogo,800,100,33610,4062244864
nl4py,scheduledreporters,Ethnocentrism.nlogo,800,1000,1347203,14954029056
nl4py,runexperiment,Ethnocentrism.nlogo,800,1000,1184199,9395130368
pynetlogo,repeatreporter,Ethnocentrism.nlogo,800,1000,1266457,17953292288
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,800,100,54651,5375361024
nl4py,runexperiment,Wolf Sheep Predation.nlogo,800,100,15935,1813516288
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,800,100,44436,5020884992
nl4py,scheduledreporters,Fire.nlogo,1000,100,49359,4597809152
nl4py,runexperiment,Fire.nlogo,1000,100,18466,1673420800
pynetlogo,repeatreporter,Fire.nlogo,1000,100,38540,4182679552
nl4py,scheduledreporters,Ethnocentrism.nlogo,1000,1000,1691805,17493368832
nl4py,runexperiment,Ethnocentrism.nlogo,1000,1000,1479919,9234415616
pynetlogo,repeatreporter,Ethnocentrism.nlogo,1000,1000,1545601,11474300928
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,1000,100,59950,5487935488
nl4py,runexperiment,Wolf Sheep Predation.nlogo,1000,100,18078,2414596096
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,1000,100,48087,5528567808
nl4py,scheduledreporters,Fire.nlogo,200,100,22295,2793295872
nl4py,runexperiment,Fire.nlogo,200,100,8446,992837632
pynetlogo,repeatreporter,Fire.nlogo,200,100,18698,2833629184
nl4py,scheduledreporters,Ethnocentrism.nlogo,200,1000,365291,8980836352
nl4py,runexperiment,Ethnocentrism.nlogo,200,1000,303311,8846417920
pynetlogo,repeatreporter,Ethnocentrism.nlogo,200,1000,328751,7564730368
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,200,100,25394,2894970880
nl4py,runexperiment,Wolf Sheep Predation.nlogo,200,100,8013,872689664
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,200,100,21195,2813943808
nl4py,scheduledreporters,Fire.nlogo,400,100,30126,2999328768
nl4py,runexperiment,Fire.nlogo,400,100,10916,1095946240
pynetlogo,repeatreporter,Fire.nlogo,400,100,24684,3330891776
nl4py,scheduledreporters,Ethnocentrism.nlogo,400,1000,696356,12083650560
nl4py,runexperiment,Ethnocentrism.nlogo,400,1000,600806,8867381248
pynetlogo,repeatreporter,Ethnocentrism.nlogo,400,1000,640161,11765907456
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,400,100,35476,3896877056
nl4py,runexperiment,Wolf Sheep Predation.nlogo,400,100,10932,1687392256
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,400,100,29873,3758108672
nl4py,scheduledreporters,Fire.nlogo,600,100,38504,3825111040
nl4py,runexperiment,Fire.nlogo,600,100,13519,1258049536
pynetlogo,repeatreporter,Fire.nlogo,600,100,29832,3607781376
nl4py,scheduledreporters,Ethnocentrism.nlogo,600,1000,1030089,16724897792
nl4py,runexperiment,Ethnocentrism.nlogo,600,1000,889600,8938258432
pynetlogo,repeatreporter,Ethnocentrism.nlogo,600,1000,936906,14122676224
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,600,100,44115,4363468800
nl4py,runexperiment,Wolf Sheep Predation.nlogo,600,100,13652,1497391104
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,600,100,36781,4216631296
nl4py,scheduledreporters,Fire.nlogo,800,100,44305,4193845248
nl4py,runexperiment,Fire.nlogo,800,100,15730,1422524416
pynetlogo,repeatreporter,Fire.nlogo,800,100,34269,4246130688
nl4py,scheduledreporters,Ethnocentrism.nlogo,800,1000,1342442,19420823552
nl4py,runexperiment,Ethnocentrism.nlogo,800,1000,1180766,9014493184
pynetlogo,repeatreporter,Ethnocentrism.nlogo,800,1000,1254947,12804575232
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,800,100,52445,4808323072
nl4py,runexperiment,Wolf Sheep Predation.nlogo,800,100,15101,2013036544
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,800,100,43319,5133832192
nl4py,scheduledreporters,Fire.nlogo,1000,100,49580,4701790208
nl4py,runexperiment,Fire.nlogo,1000,100,18237,1529036800
pynetlogo,repeatreporter,Fire.nlogo,1000,100,39710,4153753600
nl4py,scheduledreporters,Ethnocentrism.nlogo,1000,1000,1682833,15407489024
nl4py,runexperiment,Ethnocentrism.nlogo,1000,1000,1482450,9021620224
pynetlogo,repeatreporter,Ethnocentrism.nlogo,1000,1000,1558310,8674533376
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,1000,100,59667,6138593280
nl4py,runexperiment,Wolf Sheep Predation.nlogo,1000,100,17935,2237497344
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,1000,100,51456,5432688640
nl4py,scheduledreporters,Fire.nlogo,200,100,22178,2838339584
nl4py,runexperiment,Fire.nlogo,200,100,8214,869597184
pynetlogo,repeatreporter,Fire.nlogo,200,100,19150,2757496832
nl4py,scheduledreporters,Ethnocentrism.nlogo,200,1000,363685,8944078848
nl4py,runexperiment,Ethnocentrism.nlogo,200,1000,301899,8826195968
pynetlogo,repeatreporter,Ethnocentrism.nlogo,200,1000,330305,7365722112
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,200,100,25301,2699374592
nl4py,runexperiment,Wolf Sheep Predation.nlogo,200,100,8352,957046784
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,200,100,21965,2844741632
nl4py,scheduledreporters,Fire.nlogo,400,100,30474,3149565952
nl4py,runexperiment,Fire.nlogo,400,100,11534,1344782336
pynetlogo,repeatreporter,Fire.nlogo,400,100,25119,3460284416
nl4py,scheduledreporters,Ethnocentrism.nlogo,400,1000,693125,11372163072
nl4py,runexperiment,Ethnocentrism.nlogo,400,1000,591160,8857370624
pynetlogo,repeatreporter,Ethnocentrism.nlogo,400,1000,640835,11640397824
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,400,100,37377,3510509568
nl4py,runexperiment,Wolf Sheep Predation.nlogo,400,100,11522,1267654656
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,400,100,33651,3602395136
nl4py,scheduledreporters,Fire.nlogo,600,100,37251,3729186816
nl4py,runexperiment,Fire.nlogo,600,100,13540,1506766848
pynetlogo,repeatreporter,Fire.nlogo,600,100,31818,3685167104
nl4py,scheduledreporters,Ethnocentrism.nlogo,600,1000,1020839,16201089024
nl4py,runexperiment,Ethnocentrism.nlogo,600,1000,888177,8933777408
pynetlogo,repeatreporter,Ethnocentrism.nlogo,600,1000,955743,16542048256
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,600,100,44235,4703805440
nl4py,runexperiment,Wolf Sheep Predation.nlogo,600,100,13385,1520816128
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,600,100,37862,4609236992
nl4py,scheduledreporters,Fire.nlogo,800,100,43497,3835224064
nl4py,runexperiment,Fire.nlogo,800,100,15526,1455489024
pynetlogo,repeatreporter,Fire.nlogo,800,100,35950,3950145536
nl4py,scheduledreporters,Ethnocentrism.nlogo,800,1000,1351277,17634455552
nl4py,runexperiment,Ethnocentrism.nlogo,800,1000,1194031,8966139904
pynetlogo,repeatreporter,Ethnocentrism.nlogo,800,1000,1289749,21661298688
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,800,100,54116,4702875648
nl4py,runexperiment,Wolf Sheep Predation.nlogo,800,100,15789,2205278208
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,800,100,44248,4491116544
nl4py,scheduledreporters,Fire.nlogo,1000,100,49976,4567527424
nl4py,runexperiment,Fire.nlogo,1000,100,18005,1563709440
pynetlogo,repeatreporter,Fire.nlogo,1000,100,41502,4069363712
nl4py,scheduledreporters,Ethnocentrism.nlogo,1000,1000,1677203,19015892992
nl4py,runexperiment,Ethnocentrism.nlogo,1000,1000,1475356,9080205312
pynetlogo,repeatreporter,Ethnocentrism.nlogo,1000,1000,1576371,17390764032
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,1000,100,61602,5811286016
nl4py,runexperiment,Wolf Sheep Predation.nlogo,1000,100,18010,2269315072
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,1000,100,51620,5274595328
