connector,function,runs,ticks,time.ms,max.memory.used.b
nl4py,scheduledreporters,Fire.nlogo,200,100,21777,2625404928
nl4py,runexperiment,Fire.nlogo,200,100,8479,829788160
pynetlogo,repeatreporter,Fire.nlogo,200,100,19283,2825084928
nl4py,scheduledreporters,Ethnocentrism.nlogo,200,1000,359048,7817986048
nl4py,runexperiment,Ethnocentrism.nlogo,200,1000,294315,8848244736
pynetlogo,repeatreporter,Ethnocentrism.nlogo,200,1000,340584,7690366976
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,200,100,24774,2919075840
nl4py,runexperiment,Wolf Sheep Predation.nlogo,200,100,8092,852074496
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,200,100,22140,2897772544
nl4py,scheduledreporters,Fire.nlogo,400,100,31045,3457507328
nl4py,runexperiment,Fire.nlogo,400,100,11347,1316577280
pynetlogo,repeatreporter,Fire.nlogo,400,100,25757,3252101120
nl4py,scheduledreporters,Ethnocentrism.nlogo,400,1000,686047,11333795840
nl4py,runexperiment,Ethnocentrism.nlogo,400,1000,599927,8849977344
pynetlogo,repeatreporter,Ethnocentrism.nlogo,400,1000,650236,12542914560
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,400,100,35616,3704287232
nl4py,runexperiment,Wolf Sheep Predation.nlogo,400,100,11285,1278951424
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,400,100,32007,3998629888
nl4py,scheduledreporters,Fire.nlogo,600,100,38022,3512664064
nl4py,runexperiment,Fire.nlogo,600,100,14090,1315753984
pynetlogo,repeatreporter,Fire.nlogo,600,100,32009,3841835008
nl4py,scheduledreporters,Ethnocentrism.nlogo,600,1000,1021265,15811796992
nl4py,runexperiment,Ethnocentrism.nlogo,600,1000,891064,8878125056
pynetlogo,repeatreporter,Ethnocentrism.nlogo,600,1000,959114,16378761216
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,600,100,43915,4449996800
nl4py,runexperiment,Wolf Sheep Predation.nlogo,600,100,13213,1944305664
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,600,100,39098,4243722240
nl4py,scheduledreporters,Fire.nlogo,800,100,43552,3726802944
nl4py,runexperiment,Fire.nlogo,800,100,16350,1518952448
pynetlogo,repeatreporter,Fire.nlogo,800,100,36515,4316569600
nl4py,scheduledreporters,Ethnocentrism.nlogo,800,1000,1374612,16934899712
nl4py,runexperiment,Ethnocentrism.nlogo,800,1000,1185479,8951521280
pynetlogo,repeatreporter,Ethnocentrism.nlogo,800,1000,1288508,12010749952
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,800,100,53396,5228380160
nl4py,runexperiment,Wolf Sheep Predation.nlogo,800,100,15763,2077548544
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,800,100,48224,4570529792
nl4py,scheduledreporters,Fire.nlogo,1000,100,49845,4610158592
nl4py,runexperiment,Fire.nlogo,1000,100,17882,1496686592
pynetlogo,repeatreporter,Fire.nlogo,1000,100,41506,4365840384
nl4py,scheduledreporters,Ethnocentrism.nlogo,1000,1000,1673598,17488379904
nl4py,runexperiment,Ethnocentrism.nlogo,1000,1000,1472986,9043136512
pynetlogo,repeatreporter,Ethnocentrism.nlogo,1000,1000,1614059,23746924544
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,1000,100,72297,4806713344
nl4py,runexperiment,Wolf Sheep Predation.nlogo,1000,100,19066,2504912896
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,1000,100,59310,5344100352
nl4py,scheduledreporters,Fire.nlogo,200,100,22777,2892750848
nl4py,runexperiment,Fire.nlogo,200,100,8221,816001024
pynetlogo,repeatreporter,Fire.nlogo,200,100,19998,2731606016
nl4py,scheduledreporters,Ethnocentrism.nlogo,200,1000,369394,8541839360
nl4py,runexperiment,Ethnocentrism.nlogo,200,1000,306100,8803962880
pynetlogo,repeatreporter,Ethnocentrism.nlogo,200,1000,337614,7405543424
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,200,100,25212,3205492736
nl4py,runexperiment,Wolf Sheep Predation.nlogo,200,100,7967,856150016
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,200,100,22474,2841296896
nl4py,scheduledreporters,Fire.nlogo,400,100,30926,3302629376
nl4py,runexperiment,Fire.nlogo,400,100,11130,1245794304
pynetlogo,repeatreporter,Fire.nlogo,400,100,26219,3199090688
nl4py,scheduledreporters,Ethnocentrism.nlogo,400,1000,694705,12902928384
nl4py,runexperiment,Ethnocentrism.nlogo,400,1000,594352,8898158592
pynetlogo,repeatreporter,Ethnocentrism.nlogo,400,1000,647820,12262961152
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,400,100,35877,3828781056
nl4py,runexperiment,Wolf Sheep Predation.nlogo,400,100,11184,1134972928
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,400,100,31946,3947302912
nl4py,scheduledreporters,Fire.nlogo,600,100,37955,3942182912
nl4py,runexperiment,Fire.nlogo,600,100,13585,1210478592
pynetlogo,repeatreporter,Fire.nlogo,600,100,32248,3810705408
nl4py,scheduledreporters,Ethnocentrism.nlogo,600,1000,1034221,14133006336
nl4py,runexperiment,Ethnocentrism.nlogo,600,1000,897877,8988741632
pynetlogo,repeatreporter,Ethnocentrism.nlogo,600,1000,972908,15007518720
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,600,100,43860,4506054656
nl4py,runexperiment,Wolf Sheep Predation.nlogo,600,100,13383,1537933312
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,600,100,38263,4150419456
nl4py,scheduledreporters,Fire.nlogo,800,100,43439,4482883584
nl4py,runexperiment,Fire.nlogo,800,100,15572,1383448576
pynetlogo,repeatreporter,Fire.nlogo,800,100,36647,3801202688
nl4py,scheduledreporters,Ethnocentrism.nlogo,800,1000,1348876,17639825408
nl4py,runexperiment,Ethnocentrism.nlogo,800,1000,1182206,8932151296
pynetlogo,repeatreporter,Ethnocentrism.nlogo,800,1000,1295780,20564361216
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,800,100,53214,5803270144
nl4py,runexperiment,Wolf Sheep Predation.nlogo,800,100,16118,2082504704
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,800,100,49228,4358017024
nl4py,scheduledreporters,Fire.nlogo,1000,100,50092,4377079808
nl4py,runexperiment,Fire.nlogo,1000,100,17784,1509273600
pynetlogo,repeatreporter,Fire.nlogo,1000,100,41483,4387831808
nl4py,scheduledreporters,Ethnocentrism.nlogo,1000,1000,1694866,21088514048
nl4py,runexperiment,Ethnocentrism.nlogo,1000,1000,1433358,9165389824
pynetlogo,repeatreporter,Ethnocentrism.nlogo,1000,1000,1633572,22809284608
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,1000,100,60672,6295547904
nl4py,runexperiment,Wolf Sheep Predation.nlogo,1000,100,18669,2232332288
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,1000,100,53321,5448929280
